institution,course,type,salary6monthsafter,mediantariff
10007857,Financial  Economics,BSc,19000,106.71429
10007857,Forestry,BSc,22000,165
10007857,Forestry,BSc,22000,167.5
10007857,French,BA,18000,103.5
10007857,French  And  Spanish,BA,18000,102.42857
10007857,Geography,BSc,18000,118.42857
10007857,Geography,MGeog,18000,121.23077
10007857,Geography,BA,18000,115.75
10007857,Geological  Oceanography,MSci,21000,112
10007857,Geological  Oceanography,BSc,21000,106.71429
10007857,German,BA,18000,117
10007857,Health  and  Social  Care,MSoc,17000,132.09091
10007857,Health  And  Social  Care,BA,19000,134
10007857,Health  and  Well-being,BSc,22000,145
10007857,Heritage  Archaeology  And  History,BA,17000,120.4
10007857,History,BA,17000,119.5
10007857,History,MArts,17000,120.4
10007857,Iechyd  a  Gofal  Cymdeithasol,BA,19000,135.5
10007857,International  English  Language  for  TEFL,BA,17000,121.70588
10007857,Law,LLB,17000,128
10007857,Law  2,LLB,17000,137
10007857,Learning  Disability  Nursing,BN,22000,145
10007857,Linguistics,BA,17000,112
10007857,Linguistics,MArts,17000,124.85714
10007857,Marine  Biology,BSc,18000,119.5
10007857,Marine  Biology,MSci,18000,125.125
10007857,Marine  Environmental  Studies,BSc,21000,80
10007857,Marine  Geography,BSc,18000,121.23077
10007857,Marine  Science,MMSci,21000,119.5
10007857,Marine  Vertebrate  Zoology,BSc,15000,131
10007857,Marketing,BSc,19000,96
10007857,Medical  Biology,BSc,18000,125.125
10007857,Medical  Biology,MBiol,18000,125.125
10007857,Medical  Sciences,BMedSci,22000,119.5
10007857,Medieval  And  Early  Modern  History,BA,17000,118
10007857,Mental  Health  Nursing,BN,22000,144
10007857,Midwifery,BM,22000,136.57143
10007857,Modern  And  Contemporary  History,BA,17000,120.4
10007857,Music,BMus,16000,139.25
10007857,Music,BA,16000,134
10007857,Ocean  Science,BSc,21000,103.5
10007857,Philosophy  and  Religion,BA,17000,102.42857
10007857,Physical  Oceanography,MSci,21000,119.5
10007857,Polisi  Cymdeithasol  A  Gofal  Iechyd  A  Chymdeithasol,BA,17000,132.09091
10007857,Polisi  Cymdeithasol  A  Throseddeg  A  Chyfiawnder  Troseddol,BA,17000,132.09091
10007857,Primary  Education,BA,22000,121
10007857,Product  Design,BSc,16000,107.25
10007857,Professional  Writing,MArts,15000,131
10007857,Psychology,BSc,17000,122.625
10007857,Psychology,MSci,17000,124.85714
10007857,Psychology  w  Clin  &  Health  Psy,MSci,17000,124.85714
10007857,Psychology  With  Clinical  And  Health  Psychology,BSc,17000,131.75
10007857,Psychology  With  Neuropsychology,BSc,17000,119.5
10007857,Social  Policy,BA,17000,132.09091
10007857,Social  Policy,MSoc,17000,132.09091
10007857,Sociology,BA,17000,96
10007857,Sociology,MSoc,17000,130.72728
10007857,Sociology  And  Criminology  And  Criminal  Justice,BA,17000,130.72728
10007857,Spanish,BA,18000,101.625
10007857,Sport  And  Exercise  Psychology,BSc,17000,123.25
10007857,Sport  Science,MSci,17000,137.64285
10007857,Sport  Science  (Outdoor  Activities),MSci,17000,137.64285
10007857,Sport  Health  and  Exercise  Science,MSci,17000,137.64285
10007857,Sport  Health  And  Exercise  Sciences,BSc,17000,112
10007857,Sport  Health  And  Physical  Education,BSc,17000,151.5
